CAI;Производитель;Модель;Ширина (мм);;;;;;;;;;;
AB4157;Antares;Ingens A1;205;50;R17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;10;9 560;8 850
AB460U;Antares;Ingens A1;205;40;ZR17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;2;5 300;4 899
AB450U;Antares;Ingens A1;215;40;ZR17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;4;5 900;5 462
AB514U;Antares;Ingens A1;215;35;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;4;6 270;5 804
AB320U;Antares;Ingens A1;225;55;R16;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;2;5 460;5 053
AB4140;Antares;Ingens A1;225;50;R17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;2;9 710;8 990
AB509U;Antares;Ingens A1;225;60;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/AB509U.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/AB509U.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_AB509U.png;9;6 140;5 680
AB5104;Antares;Ingens A1;225;40;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;2;9 240;8 550
AB6044;Antares;Ingens A1;225;45;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;3;6 460;5 980
AB437U;Antares;Ingens A1;235;55;R17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;1;6 320;5 850
